wavelength_nm	spectrum_W_m2
395.0	0.4217548
395.5	0.41004407
396.0	0.35634175
396.5	0.21876
397.0	0.16626664
397.5	0.33676192
398.0	0.44235954
398.5	0.44659996
399.0	0.52093613
399.5	0.51825696
400.0	0.50494885
401.0	0.5236774
402.0	0.58055425
403.0	0.5730909
404.0	0.54190755
405.0	0.5250233
406.0	0.5443498
407.0	0.56482977
408.0	0.5345173
409.0	0.56483513
410.0	0.4972581
411.0	0.5469956
412.0	0.6221755
413.0	0.54549396
414.0	0.56987834
415.0	0.5944748
416.0	0.64559335
417.0	0.6158423
418.0	0.5887911
419.0	0.5933898
420.0	0.57591224
421.0	0.6085556
422.0	0.5729378
423.0	0.5669496
424.0	0.58271176
425.0	0.6026204
426.0	0.6404329
427.0	0.6046606
428.0	0.55518657
429.0	0.5699607
430.0	0.50397325
431.0	0.45655733
432.0	0.63621444
433.0	0.64520246
434.0	0.5672106
435.0	0.55040437
436.0	0.6619007
437.0	0.70945716
438.0	0.67614686
439.0	0.5841536
440.0	0.6406829
441.0	0.7402568
442.0	0.81890106
443.0	0.76995087
444.0	0.7516054
445.0	0.670972
446.0	0.71013635
447.0	0.7864338
448.0	0.67224437
449.0	0.773287
450.0	0.8361146
451.0	0.85603845
452.0	0.8180678
453.0	0.7686685
454.0	0.84175754
455.0	0.8153
456.0	0.85553896
457.0	0.88563657
458.0	0.79214764
459.0	0.832126
460.0	0.8136581
461.0	0.83835405
462.0	0.8877316
463.0	0.7913318
464.0	0.8169373
465.0	0.8602249
466.0	0.9107364
467.0	0.8198019
468.0	0.8478064
469.0	0.88955265
470.0	0.8680721
471.0	0.8732496
472.0	0.90478784
473.0	0.8879144
474.0	0.80842435
475.0	0.8331612
476.0	0.8685537
477.0	0.8923326
478.0	0.92055947
479.0	0.8940496
480.0	0.87232214
481.0	0.9114424
482.0	0.94554853
483.0	0.97414607
484.0	0.9538172
485.0	0.8942792
486.0	0.7784056
487.0	0.8296239
488.0	0.8617562
489.0	0.80735654
490.0	0.91069585
491.0	0.95170635
492.0	0.8939373
493.0	0.91209966
494.0	0.8916191
495.0	0.893005
496.0	0.9011217
497.0	0.9438203
498.0	0.9452868
499.0	0.98078847
500.0	0.96350217
501.0	0.9322431
502.0	0.8948063
503.0	0.9072004
504.0	0.8921402
505.0	0.884312
506.0	0.9665067
507.0	0.93442416
508.0	0.9092145
509.0	0.9066298
510.0	0.88771623
511.0	0.925274
512.0	0.9432533
513.0	0.9080049
514.0	0.9240523
515.0	0.9274969
516.0	0.92945623
517.0	0.8366633
518.0	0.86175555
519.0	0.8879958
520.0	0.9231999
521.0	0.9512506
522.0	0.960585
523.0	0.93927234
524.0	0.971775
525.0	0.93851465
526.0	0.9008659
527.0	0.8686706
528.0	0.92320645
529.0	0.9908137
530.0	0.9774734
531.0	0.99331933
532.0	0.9541732
533.0	0.93025714
534.0	0.9767928
535.0	1.0181451
536.0	1.0328846
537.0	0.9959129
538.0	0.996542
539.0	0.9763455
540.0	0.9577774
541.0	0.96845645
542.0	0.96604264
543.0	0.9506088
544.0	0.9796689
545.0	0.9651092
546.0	0.98755836
547.0	0.9902803
548.0	0.9663061
549.0	0.9692236
550.0	0.9979493
551.0	0.9983585
552.0	1.0032996
553.0	0.974549
554.0	1.0093908
555.0	1.02625
556.0	1.0226483
557.0	0.989396
558.0	0.9815003
559.0	0.972024
560.0	0.9835396
561.0	0.99137485
562.0	0.98051107
563.0	0.99434817
564.0	0.9501874
