wavelength_nm	spectrum_W_m2
395.0	0.009275463
395.5	0.009017897
396.0	0.007834678
396.5	0.004807066
397.0	0.0036523158
397.5	0.0073957853
398.0	0.009716065
398.5	0.009807934
399.0	0.011432558
399.5	0.011370979
400.0	0.011080268
401.0	0.011480249
402.0	0.012717082
403.0	0.012735873
404.0	0.012221091
405.0	0.0118367085
406.0	0.012262638
407.0	0.012713454
408.0	0.012032381
409.0	0.012709676
410.0	0.011183265
411.0	0.012294934
412.0	0.01397325
413.0	0.012253059
414.0	0.012792593
415.0	0.013532912
416.0	0.01489815
417.0	0.014207106
418.0	0.013579052
419.0	0.013679323
420.0	0.013272421
421.0	0.01401625
422.0	0.013189468
423.0	0.013043543
424.0	0.013401214
425.0	0.014047975
426.0	0.015124671
427.0	0.01427597
428.0	0.013105825
429.0	0.013440709
430.0	0.011877562
431.0	0.01076067
432.0	0.014979955
433.0	0.015395227
434.0	0.013718815
435.0	0.013311344
436.0	0.01599362
437.0	0.01712469
438.0	0.016307
439.0	0.014097936
440.0	0.015448749
441.0	0.018071853
442.0	0.020247458
443.0	0.01903473
444.0	0.018579584
445.0	0.016589548
446.0	0.017539512
447.0	0.019413048
448.0	0.016605824
449.0	0.019331038
450.0	0.02115937
451.0	0.02165726
452.0	0.020690018
453.0	0.019433515
454.0	0.021266196
455.0	0.020595651
456.0	0.021600341
457.0	0.022348994
458.0	0.01999315
459.0	0.021257399
460.0	0.021046499
461.0	0.021673886
462.0	0.022931654
463.0	0.020447198
464.0	0.021092555
465.0	0.022190139
466.0	0.023474133
467.0	0.021134418
468.0	0.021843161
469.0	0.022901304
470.0	0.022337196
471.0	0.022742078
472.0	0.023849197
473.0	0.02339558
474.0	0.021306189
475.0	0.021945938
476.0	0.022857472
477.0	0.023469323
478.0	0.024200404
479.0	0.023496952
480.0	0.022924094
481.0	0.024229093
482.0	0.025421757
483.0	0.026169376
484.0	0.025611175
485.0	0.02400423
486.0	0.020884842
487.0	0.02224575
488.0	0.02310593
489.0	0.021906631
490.0	0.024979372
491.0	0.026080243
492.0	0.024486931
493.0	0.0249754
494.0	0.024409384
495.0	0.024723394
496.0	0.025224725
497.0	0.026402274
498.0	0.026421623
499.0	0.02739645
500.0	0.026899116
501.0	0.026285006
502.0	0.025509365
503.0	0.025857048
504.0	0.025417034
505.0	0.025471278
506.0	0.02812248
507.0	0.027174203
508.0	0.02642868
509.0	0.02634877
510.0	0.025791377
511.0	0.027161766
512.0	0.027975412
513.0	0.02691499
514.0	0.027373452
515.0	0.027460769
516.0	0.027506292
517.0	0.025011979
518.0	0.026028741
519.0	0.026814107
520.0	0.027864935
521.0	0.028992558
522.0	0.029563216
523.0	0.02889336
524.0	0.029877948
525.0	0.029147495
526.0	0.028246738
527.0	0.027492145
528.0	0.029492829
529.0	0.031631768
530.0	0.031189583
531.0	0.031991154
532.0	0.031016188
533.0	0.030514887
534.0	0.032325063
535.0	0.033988476
536.0	0.034783673
537.0	0.033830956
538.0	0.03415053
539.0	0.034055024
540.0	0.0339825
541.0	0.0346485
542.0	0.03485844
543.0	0.034881566
544.0	0.03654156
545.0	0.036287226
546.0	0.037418474
547.0	0.038122132
548.0	0.037789807
549.0	0.038795207
550.0	0.04085679
551.0	0.041474555
552.0	0.042288266
553.0	0.04167006
554.0	0.043766633
555.0	0.04543323
556.0	0.046207033
557.0	0.0456107
558.0	0.04614477
559.0	0.046887804
560.0	0.048648484
561.0	0.049945362
562.0	0.05029662
563.0	0.052230738
564.0	0.05108218
565.0	0.052208476
566.0	0.054104324
567.0	0.05661609
568.0	0.056546822
569.0	0.056738682
570.0	0.05765888
571.0	0.05794806
572.0	0.061141513
573.0	0.06439205
574.0	0.066504955
575.0	0.066893905
576.0	0.06805732
577.0	0.07041202
578.0	0.07049388
579.0	0.07132792
580.0	0.07420546
581.0	0.07641778
582.0	0.07934968
583.0	0.08101099
584.0	0.082957424
585.0	0.08111824
586.0	0.080713324
587.0	0.08425686
588.0	0.08409405
589.0	0.07527109
590.0	0.079057336
591.0	0.084459275
592.0	0.08342234
593.0	0.08611446
594.0	0.08822245
595.0	0.08801294
596.0	0.09290476
597.0	0.09276952
598.0	0.09330593
599.0	0.09399782
600.0	0.0945756
601.0	0.09447759
602.0	0.09480976
603.0	0.09812155
604.0	0.101178914
605.0	0.10123739
606.0	0.10147436
607.0	0.103089266
608.0	0.10242274
609.0	0.10327688
610.0	0.1030054
611.0	0.103281334
612.0	0.10201236
613.0	0.10124195
614.0	0.101159036
615.0	0.104078576
616.0	0.10042948
617.0	0.100410104
618.0	0.10553413
619.0	0.10526025
620.0	0.105646804
621.0	0.10585991
622.0	0.10494796
623.0	0.10286037
624.0	0.1016713
625.0	0.10237011
626.0	0.10451117
627.0	0.10622196
628.0	0.10155257
629.0	0.10519995
630.0	0.103556514
631.0	0.10528965
632.0	0.10377334
633.0	0.10734732
634.0	0.10631948
635.0	0.108283244
636.0	0.106888816
637.0	0.108752705
638.0	0.10999102
639.0	0.109142914
640.0	0.108258925
641.0	0.10839712
642.0	0.10787313
