 11 2000.395234 9.313E-29 7.216E-01.02540.281 4265.97560.47-.011058          0 2 0          0 1 0 11  9  2       11  8  3      4442334432297122 9    81.0   75.0
 11 2000.396957 3.105E-29 7.217E-01.02540.281 4265.97360.47-.011051          0 2 0          0 1 0 11  9  3       11  8  4      3442334432297122 9    81.0   75.0
 11 2000.416146 2.332E-27 6.702E-03.07020.365 2552.85720.63-.006649          0 0 1          0 1 0  7  3  5        6  5  2      454446441884672224    81.0   75.0
 11 2000.903300 3.567E-24 5.800E+00.04080.220 2406.14300.52-.009699          0 2 0          0 1 0  6  6  1        5  5  0      586521305967662423    39.0   33.0
 11 2001.016658 1.330E-24 6.488E+00.03870.207 2406.14100.74-.009819          0 2 0          0 1 0  6  6  0        5  5  1      484420445967662423    13.0   11.0
 11 2001.205406 2.820E-29 8.300E-01.02480.265 4557.54490.44-.010312          0 2 0          0 1 0 12  9  4       12  8  5      3442334432297122 9    81.0   75.0
 11 2001.290034 2.054E-29 2.656E+00.04930.352 4782.66210.61-.008675          0 1 1          0 0 1  8  6  2        7  5  3      4442334432287122 7    81.0   75.0
 11 2001.375137 1.059E-29 1.221E-01.07230.352 4033.61430.61-.013986          0 1 1          0 2 0  7  1  6        7  3  5      4442334432287122 8    81.0   75.0
 11 2001.487509 6.731E-28 6.781E-01.08920.412 3375.29770.69-.001579          1 1 0          0 2 0  3  1  3        4  0  4      4742234433257122 7    81.0   75.0
 11 2001.576569 3.500E-27 1.390E+01.00230.172 4021.21640.32-.005992          0 1 0          0 0 0 20  1 19       19  2 18      3742234433297122 9    81.0   75.0
 11 2001.576748 1.050E-26 1.390E+01.00230.172 4021.21460.32-.005992          0 1 0          0 0 0 20  2 19       19  1 18      4742234433297122 9    81.0   75.0
 11 2001.885750 4.070E-25 6.624E-01.07180.371 2406.14300.41-.004979          0 0 1          0 1 0  6  3  3        5  5  0      566526305910162524    39.0   33.0
 11 2001.922463 2.697E-29 4.209E-01.04410.250 4442.71140.41-.018874          0 0 1          0 1 0 13  6  8       13  6  7      4442334432297122 9    81.0   75.0
 11 2002.996765 2.304E-24 3.683E-01.09440.499 1731.89670.70-.001059          1 0 0          0 1 0  2  1  2        3  0  3      585620445967662423    15.0   21.0
 11 2003.392310 2.620E-24 5.349E-01.10180.452 1677.06140.78-.012169          1 0 0          0 1 0  1  0  1        2  1  2      585820305967162423     9.0   15.0
 11 2003.571992 9.083E-28 6.551E+00.05140.292 4188.39410.61-.006019          0 3 0          0 2 0  8  5  4        7  4  3      474426443384672224    81.0   75.0
 11 2003.611115 6.546E-29 4.310E-03.05910.298 3058.39770.51-.009584          0 0 1          0 1 0 11  0 11       10  2  8      444233443231712210    81.0   75.0
 11 2003.635560 3.952E-25 6.459E-01.07850.457 2146.26360.63-.005089          0 0 1          0 1 0  5  1  4        6  1  5      576626305910162224    11.0   13.0
 11 2004.015596 7.640E-28 7.491E-01.09780.434 3299.99090.71-.007133          1 1 0          0 2 0  2  0  2        3  1  3      4742234433257122 7    81.0   75.0
 11 2004.187750 7.934E-25 4.653E-01.08260.430 2161.28590.95-.009749          0 0 1          0 1 0  5  2  4        6  2  5      586720305910162545    33.0   39.0
 11 2004.523340 7.430E-26 4.587E-02.07940.376 2130.49420.67-.004049          1 0 0          0 1 0  4  4  1        5  3  2      564426305984672224    27.0   33.0
 11 2004.839794 6.911E-28 9.803E-01.08070.391 3722.73100.67-.001669          0 1 1          0 2 0  4  3  1        5  3  2      4742234433257122 7    81.0   75.0
 11 2004.901640 6.610E-25 4.464E-01.10690.479 1922.90040.69-.007849          1 0 0          0 1 0  4  1  3        4  2  2      566526305910162224     9.0    9.0
 11 2005.469988 1.320E-25 6.869E+00.02250.191 3083.86440.37-.006459          0 1 0          0 0 0 16  3 13       15  4 12      354426445984162224    33.0   31.0
 11 2005.479063 2.573E-27 3.660E-03.06740.341 2181.08980.610.004490          0 2 0          0 1 0  7  4  4        7  1  7      574426443384672224    81.0   75.0
 11 2005.675950 3.047E-28 6.548E+00.04750.278 4186.56880.61-.002749          0 3 0          0 2 0  8  5  3        7  4  4      474426443384672224    81.0   75.0
 11 2005.877880 7.110E-26 1.743E-02.10150.452 1819.33510.71-.009879          0 0 1          0 1 0  2  0  2        3  2  1      554426305984672224    15.0   21.0
 11 2006.472100 3.999E-29 2.922E-01.06380.250 4285.64650.41-.015528          0 0 1          0 1 0 13  5  9       13  5  8      4442334432297122 9    81.0   75.0
 11 2006.605332 1.616E-27 5.301E-02.05660.318 3101.12340.57-.000619          1 0 0          0 1 0  9  5  4        8  6  3      474426443384672224    81.0   75.0
 11 2006.764142 2.334E-28 9.796E-01.07540.391 3719.49100.67-.005156          0 1 1          0 2 0  4  3  2        5  3  3      444233443225712210    81.0   75.0
 11 2006.977980 5.452E-25 2.777E-01.09150.470 1743.48630.72-.004529          1 0 0          0 1 0  2  1  1        2  2  0      576626305910162224     5.0    5.0
 11 2007.066432 8.284E-29 5.445E-04.01910.221 2631.28220.37-.004892          0 1 0          0 0 0 14  5  9       15  2 14      344233443231712211    81.0   75.0
 11 2007.198446 9.259E-28 6.761E-01.09140.391 3626.92230.67-.007442          1 1 0          0 2 0  5  1  4        5  2  3      4742234433257122 7    81.0   75.0
 11 2007.206712 5.040E-28 4.963E-02.04830.333 3101.14200.57-.007186          1 0 0          0 1 0  9  5  5        8  6  2      4742234433287122 8    81.0   75.0
 11 2007.292240 7.709E-27 2.140E-03.09270.410 1739.48370.710.006020          0 2 0          0 1 0  4  4  0        3  1  3      574426303384672224    81.0   75.0
 11 2007.561377 2.148E-29 4.632E-03.09000.434 3334.62650.710.005273          0 3 0          0 2 0  4  4  1        3  1  2      4442334432257122 7    81.0   75.0
 11 2007.700220 3.941E-22 2.703E+00.07720.383 1131.77550.60-.006499          0 1 0          0 0 0  9  5  5        8  4  4      686420595967662423    19.0   17.0
 11 2007.700940 8.485E-26 9.401E-02.08400.435 2024.15230.67-.000269          1 0 0          0 1 0  4  3  1        5  2  4      574426303384672224    81.0   75.0
 11 2007.987536 4.154E-29 2.140E-02.09970.434 3392.74930.71-.009121          0 1 1          0 2 0  2  0  2        3  2  1      4442334432257122 7    81.0   75.0
 11 2008.057530 2.240E-24 3.932E-01.09680.461 1819.33510.90-.004829          1 0 0          0 1 0  3  1  2        3  2  1      588521305910662545    21.0   21.0
 11 2008.092241 2.348E-28 2.097E-01.08810.391 3626.92240.67-.001595          1 1 0          0 2 0  4  3  2        5  2  3      4442534432257122 7    81.0   75.0
 11 2008.175202 4.366E-29 4.756E-01.04110.265 4125.59810.44-.015499          0 0 1          0 1 0 12  6  7       12  6  6      4442334432297122 9    81.0   75.0
 11 2008.390760 1.579E-26 2.878E-02.07480.357 2126.40760.67-.004419          1 0 0          0 1 0  4  4  0        5  3  3      554426303384672224    81.0   75.0
 11 2008.644029 1.153E-27 3.705E-02.06980.281 3135.76420.470.005030          0 2 0          0 1 0 11  4  7       11  1 10      4742234433287122 8    81.0   75.0
 11 2008.758020 1.077E-28 8.591E-02.05990.265 3587.66550.440.014965          0 2 0          0 1 0 12  5  7       12  2 10      3442334432297122 9    81.0   75.0
 11 2009.016280 1.645E-26 8.263E-02.06950.392 2439.95440.61-.010829          0 0 1          0 1 0  7  1  6        7  3  5      574426303384672224    81.0   75.0
 11 2009.147493 1.328E-29 1.666E+00.04010.333 4774.80470.57-.007012          0 1 1          0 2 0  8  6  2        8  6  3      4442334432257122 7    81.0   75.0
 11 2009.333720 2.153E-22 1.167E-01.07750.414  586.47920.70-.001109          0 1 0          0 0 0  8  2  6        7  1  7      686520595967662423    17.0   15.0
 11 2009.780670 5.089E-29 1.003E-01.08590.371 3864.96560.63-.009474          0 1 1          0 2 0  6  1  5        6  3  4      4442334432257122 7    81.0   75.0
 11 2010.419371 4.645E-29 3.611E-02.08900.412 3597.86620.69-.008121          0 1 1          0 2 0  4  1  3        4  3  2      4442334432257122 7    81.0   75.0
 11 2010.454292 1.538E-28 2.126E-01.09420.412 3438.57470.690.001260          1 1 0          0 2 0  3  2  2        4  1  3      4442234432257122 7    81.0   75.0
 11 2010.555527 2.070E-26 2.670E+00.03690.111 3269.53860.37-.014009          0 1 0          0 0 0 16  4 12       15  5 11      374326443384162224    33.0   31.0
 11 2010.989716 3.804E-29 2.091E+00.03820.352 4578.97950.61-.007737          0 1 1          0 2 0  7  6  2        7  6  1      4442334432257122 7    81.0   75.0
 11 2011.022590 1.054E-24 1.349E-02.08100.381 1524.84730.850.009360          0 1 0          0 0 0 11  4  7       11  1 10      578521305910662545    69.0   69.0
 11 2011.091202 1.286E-29 2.120E+00.03720.352 4578.88180.61-.006727          0 1 1          0 2 0  7  6  1        7  6  2      4442334432297122 8    81.0   75.0
 11 2011.324633 5.117E-29 1.295E-03.05920.315 2841.43040.55-.008272          0 0 1          0 1 0 10  1 10        9  3  7      444233443230712210    81.0   75.0
 11 2011.445399 5.265E-29 1.255E-01.03430.281 4038.40280.47-.007516          1 0 0          0 1 0 12  6  7       11  7  4      4442334432297122 9    81.0   75.0
 11 2011.448957 1.444E-29 1.220E+01.01520.208 5089.33450.35-.001992          0 2 0          0 1 0 17  4 14       16  3 13      344233443229712211    81.0   75.0
 11 2011.723850 2.788E-28 1.103E-04.05030.281 1985.78420.47-.009109          0 1 0          0 0 0 10  8  2       11  5  7      574223443331712211    81.0   75.0
 11 2011.950582 2.289E-25 4.566E+00.06690.354 2771.69000.90-.006239          0 2 0          0 1 0  9  5  5        8  4  4      466526445910162524    19.0   17.0
 11 2012.028273 1.300E-29 3.596E-01.08020.371 4408.02880.63-.000862          0 1 1          0 0 1  6  6  0        6  3  3      4442334432287122 8    81.0   75.0
 11 2012.103125 2.300E-26 1.126E+01.01000.119 3567.25240.34-.002639          0 1 0          0 0 0 18  2 16       17  3 15      354426445984672224    37.0   35.0
 11 2012.153850 1.440E-24 6.175E-01.09160.455 2053.96860.85-.005329          0 0 1          0 1 0  4  2  2        5  2  3      587821305910162545    27.0   33.0
 11 2012.310180 5.240E-26 4.584E-02.08960.441 1922.90040.69-.001239          1 0 0          0 1 0  3  3  1        4  2  2      474426443384672224    81.0   75.0
 11 2012.316266 6.670E-26 1.089E+01.00910.135 3567.17160.56-.002499          0 1 0          0 0 0 18  3 16       17  2 15      465526445910162524   111.0  105.0
 11 2012.424766 1.961E-29 6.772E-02.08510.391 3719.49100.67-.008354          0 1 1          0 2 0  5  1  4        5  3  3      4442334432257122 7    81.0   75.0
 11 2012.508709 5.675E-28 5.429E-01.04010.281 3833.14390.47-.014470          0 0 1          0 1 0 11  6  6       11  6  5      4742234433297122 9    81.0   75.0
 11 2012.662705 6.688E-28 1.327E+00.04680.333 3895.25270.57-.009119          0 1 1          0 2 0  7  1  7        8  1  8      4742234433257122 7    81.0   75.0
 11 2012.837493 2.234E-28 1.327E+00.04820.333 3894.79860.57-.009174          0 1 1          0 2 0  7  0  7        8  0  8      4442334432257122 7    81.0   75.0
 11 2012.898491 3.374E-29 2.791E+00.03220.371 4407.15770.63-.008715          0 1 1          0 2 0  6  6  1        6  6  0      4442334432297122 9    81.0   75.0
 11 2012.920463 1.738E-29 1.245E-01.03660.281 4038.35080.47-.004093          1 0 0          0 1 0 12  6  6       11  7  5      4442334432297122 9    81.0   75.0
 11 2013.010753 8.884E-29 2.448E+00.04010.371 4407.04640.63-.006623          0 1 1          0 2 0  6  6  0        6  6  1      4442334432257122 7    81.0   75.0
 11 2013.040293 4.522E-27 2.697E+00.04300.289 3822.24350.35-.010879          0 1 0          0 0 0 17  5 12       16  6 11      474426443384672224    81.0   75.0
