Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Difuse_horiz-circumsolar Global_tilt_reflectd_rad Upward_reflctd_radiation
.3900E+03 .1278E+01 .6818E+00 .2789E+00 .8250E+00 .5461E+00 .2137E+00 .2156E+00 .4293E+00 .2789E+00 .7612E-01 .1438E+00
.3905E+03 .1175E+01 .6285E+00 .2558E+00 .7592E+00 .5034E+00 .1970E+00 .1980E+00 .3950E+00 .2558E+00 .7014E-01 .1325E+00
.3910E+03 .1382E+01 .7410E+00 .3000E+00 .8935E+00 .5935E+00 .2323E+00 .2327E+00 .4649E+00 .3000E+00 .8267E-01 .1562E+00
.3915E+03 .1408E+01 .7571E+00 .3049E+00 .9113E+00 .6064E+00 .2373E+00 .2369E+00 .4742E+00 .3049E+00 .8443E-01 .1596E+00
.3920E+03 .1185E+01 .6387E+00 .2559E+00 .7675E+00 .5116E+00 .2002E+00 .1992E+00 .3994E+00 .2559E+00 .7121E-01 .1346E+00
.3925E+03 .1059E+01 .5727E+00 .2283E+00 .6870E+00 .4587E+00 .1795E+00 .1780E+00 .3575E+00 .2283E+00 .6383E-01 .1207E+00
.3930E+03 .5885E+00 .3191E+00 .1266E+00 .3822E+00 .2556E+00 .1000E+00 .9885E-01 .1989E+00 .1266E+00 .3556E-01 .6722E-01
.3935E+03 .4272E+00 .2323E+00 .9169E-01 .2778E+00 .1861E+00 .7282E-01 .7172E-01 .1445E+00 .9169E-01 .2588E-01 .4893E-01
.3940E+03 .8684E+00 .4734E+00 .1859E+00 .5651E+00 .3792E+00 .1484E+00 .1457E+00 .2941E+00 .1859E+00 .5272E-01 .9969E-01
.3945E+03 .1103E+01 .6028E+00 .2355E+00 .7183E+00 .4828E+00 .1889E+00 .1849E+00 .3738E+00 .2355E+00 .6711E-01 .1269E+00
.3950E+03 .1344E+01 .7367E+00 .2863E+00 .8764E+00 .5900E+00 .2309E+00 .2251E+00 .4561E+00 .2863E+00 .8198E-01 .1551E+00
.3955E+03 .1365E+01 .7496E+00 .2898E+00 .8902E+00 .6004E+00 .2350E+00 .2283E+00 .4632E+00 .2898E+00 .8339E-01 .1578E+00
.3960E+03 .1182E+01 .6509E+00 .2504E+00 .7717E+00 .5213E+00 .2040E+00 .1976E+00 .4016E+00 .2504E+00 .7239E-01 .1370E+00
.3965E+03 .6898E+00 .3810E+00 .1459E+00 .4510E+00 .3051E+00 .1194E+00 .1153E+00 .2347E+00 .1459E+00 .4237E-01 .8016E-01
.3970E+03 .5170E+00 .2863E+00 .1091E+00 .3384E+00 .2293E+00 .8975E-01 .8637E-01 .1761E+00 .1091E+00 .3183E-01 .6024E-01
.3975E+03 .1050E+01 .5832E+00 .2210E+00 .6882E+00 .4671E+00 .1828E+00 .1753E+00 .3582E+00 .2210E+00 .6482E-01 .1227E+00
.3980E+03 .1471E+01 .8181E+00 .3084E+00 .9637E+00 .6553E+00 .2564E+00 .2451E+00 .5016E+00 .3084E+00 .9090E-01 .1721E+00
.3985E+03 .1519E+01 .8469E+00 .3176E+00 .9959E+00 .6783E+00 .2655E+00 .2529E+00 .5183E+00 .3176E+00 .9407E-01 .1781E+00
.3990E+03 .1641E+01 .9180E+00 .3428E+00 .1078E+01 .7352E+00 .2877E+00 .2733E+00 .5611E+00 .3428E+00 .1020E+00 .1930E+00
